Taxa	Abundance	IDs
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_merdae	3	Mockrobiota_78,Mockrobiota_79,Mockrobiota_80
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola_massiliensis	1	Mockrobiota_82
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus_comes	2	Mockrobiota_83,Mockrobiota_84
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_thetaiotaomicron	2	Mockrobiota_85,Mockrobiota_87
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_buccalis	1	Mockrobiota_88
k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelatoclostridium; s__[Clostridium]_cocleatum	1	Mockrobiota_89
k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Clostridium]_methylpentosum_group; g__[Clostridium]_methylpentosum_group; s__[Clostridium]_methylpentosum_group_methylpentosum	2	Mockrobiota_90,Mockrobiota_91
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_cellulosilyticus	3	Mockrobiota_92,Mockrobiota_93,Mockrobiota_94
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_ovatus	4	Mockrobiota_95,Mockrobiota_97,Mockrobiota_98,Mockrobiota_99
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Paraprevotella; s__Paraprevotella_clara	1	Mockrobiota_101
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_uniformis	4	Mockrobiota_103,Mockrobiota_105,Mockrobiota_106,Mockrobiota_107
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_eggerthii	1	Mockrobiota_108
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_gingivalis	3	Mockrobiota_109,Mockrobiota_154,Mockrobiota_234
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia_muciniphila	1	Mockrobiota_112
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia; s__Burkholderia-Caballeronia-Paraburkholderia_xenovorans	1	Mockrobiota_115
k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus; s__Chloroflexus_aurantiacus	1	Mockrobiota_117
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_piger	3	Mockrobiota_119,Mockrobiota_120,Mockrobiota_121
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pectobacteriaceae; g__Dickeya; s__Dickeya_dadantii	3	Mockrobiota_122,Mockrobiota_124,Mockrobiota_127
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Fusobacterium_nucleatum	6	Mockrobiota_131,Mockrobiota_132,Mockrobiota_133,Mockrobiota_134,Mockrobiota_135,Mockrobiota_136
k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Herpetosiphonales; f__Herpetosiphonaceae; g__Herpetosiphon; s__Herpetosiphon_aurantiacus	1	Mockrobiota_140
k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Pelodictyon; s__Pelodictyon_phaeoclathratiforme	3	Mockrobiota_149,Mockrobiota_150,Mockrobiota_151
k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Rhodopirellula; s__Rhodopirellula_baltica	1	Mockrobiota_158
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__Ruegeria_pomeroyi	1	Mockrobiota_159
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micromonosporales; f__Micromonosporaceae; g__Salinispora; s__Salinispora_arenicola	1	Mockrobiota_160
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__Shewanella_baltica	11	Mockrobiota_162,Mockrobiota_164,Mockrobiota_165,Mockrobiota_166,Mockrobiota_167,Mockrobiota_168,Mockrobiota_169,Mockrobiota_172,Mockrobiota_173,Mockrobiota_175,Mockrobiota_176
k__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Hydrogenothermaceae; g__Sulfurihydrogenibium; s__Sulfurihydrogenibium_yellowstonense	2	Mockrobiota_178,Mockrobiota_179
k__Bacteria; p__Thermotogae; c__Thermotogae; o__Thermotogales; f__Thermotogaceae; g__Thermotoga; s__Thermotoga_petrophila	1	Mockrobiota_182
k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Treponemataceae; g__Treponema; s__Treponema_denticola	2	Mockrobiota_184,Mockrobiota_185
k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Treponemataceae; g__Treponema; s__Treponema_vincentii	1	Mockrobiota_186
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Zymomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	1	Mockrobiota_187
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1; s__Clostridium_sensu_stricto_1_beijerinckii	11	Mockrobiota_199,Mockrobiota_200,Mockrobiota_202,Mockrobiota_203,Mockrobiota_204,Mockrobiota_205,Mockrobiota_206,Mockrobiota_207,Mockrobiota_208,Mockrobiota_211,Mockrobiota_212
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__Escherichia-Shigella_coli	5	Mockrobiota_217,Mockrobiota_218,Mockrobiota_219,Mockrobiota_220,Mockrobiota_222
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter_pylori	1	Mockrobiota_223
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria_meningitidis	1	Mockrobiota_229
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas_europaea	1	Mockrobiota_250
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_putida	1	Mockrobiota_251
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__Gemmatimonas_aurantiaca	1	Mockrobiota_252
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_subtilis	1	Mockrobiota_253
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris	1	Mockrobiota_254
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium_sensu_stricto_11; s__Clostridium_sensu_stricto_11_acetobutylicum	2	Mockrobiota_255,Mockrobiota_273
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Pelolinea; s__Pelolinea_thermophila	1	Mockrobiota_257
k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Treponemataceae; g__Treponema; s__Treponema_bryantii	2	Mockrobiota_258,Mockrobiota_274
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfitobacterium; s__Desulfitobacterium_hafniense	1	Mockrobiota_263
