ID	mockrobiota00	mockrobiota01	mockrobiota02	mockrobiota03	mockrobiota04
Mockrobiota_150	1.0	0.0	1.0	1.0	1.0
Mockrobiota_151	1.0	1.0	1.0	1.0	1.0
Mockrobiota_152	1.0	1.0	0.0	0.0	0.0
Mockrobiota_153	1.0	1.0	1.0	0.0	1.0
Mockrobiota_154	1.0	1.0	1.0	1.0	1.0
Mockrobiota_155	1.0	1.0	1.0	0.0	0.0
Mockrobiota_156	1.0	1.0	1.0	0.0	0.0
Mockrobiota_157	0.0	1.0	1.0	1.0	1.0
Mockrobiota_158	1.0	1.0	0.0	1.0	1.0
Mockrobiota_159	1.0	1.0	1.0	1.0	0.0
Mockrobiota_16	1.0	1.0	0.0	1.0	0.0
Mockrobiota_160	1.0	1.0	0.0	1.0	0.0
Mockrobiota_161	1.0	1.0	1.0	0.0	1.0
Mockrobiota_162	0.0	1.0	1.0	1.0	1.0
Mockrobiota_163	1.0	1.0	0.0	0.0	1.0
Mockrobiota_164	0.0	1.0	1.0	1.0	1.0
Mockrobiota_165	1.0	1.0	1.0	1.0	1.0
Mockrobiota_166	1.0	0.0	0.0	1.0	0.0
Mockrobiota_167	1.0	0.0	1.0	1.0	1.0
Mockrobiota_168	0.0	0.0	0.0	1.0	1.0
Mockrobiota_169	1.0	1.0	1.0	1.0	1.0
Mockrobiota_17	1.0	1.0	1.0	1.0	1.0
Mockrobiota_170	1.0	1.0	1.0	0.0	1.0
Mockrobiota_171	1.0	1.0	1.0	0.0	1.0
Mockrobiota_172	1.0	1.0	1.0	1.0	1.0
Mockrobiota_173	1.0	1.0	1.0	1.0	0.0
Mockrobiota_174	1.0	1.0	1.0	0.0	0.0
Mockrobiota_175	1.0	1.0	1.0	1.0	1.0
Mockrobiota_176	1.0	1.0	0.0	1.0	1.0
Mockrobiota_177	0.0	0.0	1.0	1.0	0.0
Mockrobiota_178	1.0	1.0	1.0	1.0	1.0
Mockrobiota_179	1.0	1.0	0.0	1.0	1.0
Mockrobiota_18	0.0	0.0	1.0	1.0	1.0
Mockrobiota_180	1.0	1.0	1.0	0.0	1.0
Mockrobiota_181	1.0	0.0	1.0	0.0	0.0
Mockrobiota_182	1.0	1.0	1.0	1.0	0.0
Mockrobiota_183	0.0	1.0	1.0	0.0	1.0
Mockrobiota_184	1.0	1.0	1.0	1.0	1.0
Mockrobiota_185	1.0	1.0	1.0	1.0	1.0
Mockrobiota_186	0.0	1.0	0.0	1.0	1.0
Mockrobiota_187	1.0	1.0	0.0	1.0	1.0
Mockrobiota_188	1.0	1.0	0.0	1.0	1.0
Mockrobiota_189	0.0	0.0	1.0	1.0	0.0
Mockrobiota_19	0.0	1.0	1.0	0.0	1.0
Mockrobiota_190	0.0	1.0	0.0	1.0	0.0
Mockrobiota_191	0.0	1.0	1.0	1.0	1.0
Mockrobiota_192	1.0	1.0	0.0	0.0	1.0
Mockrobiota_193	0.0	1.0	1.0	1.0	0.0
Mockrobiota_194	1.0	0.0	0.0	1.0	1.0
Mockrobiota_195	1.0	1.0	1.0	1.0	1.0
Mockrobiota_196	1.0	0.0	1.0	0.0	1.0
Mockrobiota_197	1.0	0.0	0.0	1.0	1.0
Mockrobiota_198	1.0	1.0	0.0	1.0	0.0
Mockrobiota_199	1.0	1.0	1.0	1.0	1.0
Mockrobiota_2	1.0	1.0	1.0	1.0	0.0
Mockrobiota_20	1.0	1.0	0.0	0.0	1.0
Mockrobiota_200	1.0	1.0	1.0	1.0	1.0
Mockrobiota_201	0.0	1.0	0.0	0.0	0.0
Mockrobiota_202	1.0	1.0	1.0	1.0	1.0
Mockrobiota_203	1.0	0.0	1.0	1.0	0.0
Mockrobiota_204	1.0	1.0	0.0	1.0	1.0
Mockrobiota_205	1.0	1.0	1.0	1.0	1.0
Mockrobiota_206	1.0	1.0	1.0	1.0	1.0
Mockrobiota_207	1.0	1.0	1.0	1.0	1.0
Mockrobiota_208	1.0	0.0	0.0	1.0	1.0
Mockrobiota_209	1.0	1.0	0.0	0.0	1.0
Mockrobiota_21	0.0	0.0	0.0	1.0	1.0
Mockrobiota_210	1.0	1.0	1.0	0.0	1.0
Mockrobiota_211	0.0	0.0	1.0	1.0	1.0
Mockrobiota_212	1.0	0.0	1.0	1.0	1.0
Mockrobiota_213	1.0	1.0	1.0	1.0	1.0
Mockrobiota_214	1.0	1.0	0.0	1.0	1.0
Mockrobiota_215	1.0	1.0	1.0	0.0	1.0
Mockrobiota_216	1.0	1.0	1.0	1.0	1.0
Mockrobiota_217	0.0	1.0	1.0	1.0	1.0
Mockrobiota_218	0.0	1.0	1.0	1.0	1.0
Mockrobiota_219	1.0	1.0	1.0	1.0	0.0
Mockrobiota_22	1.0	1.0	0.0	0.0	1.0
Mockrobiota_220	1.0	1.0	0.0	1.0	1.0
Mockrobiota_221	1.0	1.0	0.0	0.0	0.0
Mockrobiota_222	1.0	1.0	0.0	1.0	1.0
Mockrobiota_223	1.0	1.0	1.0	1.0	1.0
Mockrobiota_224	0.0	1.0	1.0	1.0	1.0
Mockrobiota_225	1.0	0.0	1.0	0.0	1.0
Mockrobiota_226	0.0	1.0	0.0	0.0	1.0
Mockrobiota_227	1.0	0.0	1.0	0.0	1.0
Mockrobiota_228	0.0	0.0	1.0	1.0	1.0
Mockrobiota_229	0.0	1.0	1.0	1.0	1.0
Mockrobiota_23	1.0	1.0	1.0	0.0	1.0
Mockrobiota_230	1.0	1.0	1.0	1.0	1.0
Mockrobiota_231	1.0	1.0	1.0	0.0	1.0
Mockrobiota_232	1.0	0.0	0.0	1.0	0.0
Mockrobiota_233	1.0	0.0	1.0	0.0	1.0
Mockrobiota_234	1.0	1.0	1.0	1.0	1.0
Mockrobiota_235	1.0	1.0	1.0	1.0	0.0
Mockrobiota_236	1.0	1.0	1.0	1.0	0.0
Mockrobiota_237	0.0	1.0	1.0	1.0	1.0
Mockrobiota_238	1.0	0.0	0.0	1.0	0.0
Mockrobiota_239	1.0	1.0	1.0	1.0	0.0
Mockrobiota_24	0.0	0.0	1.0	1.0	1.0
Mockrobiota_240	1.0	1.0	1.0	1.0	0.0
Mockrobiota_241	0.0	1.0	1.0	1.0	1.0
Mockrobiota_242	1.0	1.0	1.0	1.0	1.0
Mockrobiota_243	1.0	0.0	1.0	1.0	1.0
Mockrobiota_244	1.0	1.0	1.0	0.0	1.0
Mockrobiota_245	0.0	1.0	0.0	0.0	1.0
Mockrobiota_246	1.0	0.0	1.0	1.0	1.0
Mockrobiota_247	0.0	1.0	1.0	1.0	1.0
Mockrobiota_248	1.0	0.0	1.0	1.0	1.0
Mockrobiota_249	1.0	0.0	1.0	0.0	1.0
Mockrobiota_25	1.0	0.0	1.0	1.0	1.0
Mockrobiota_250	1.0	1.0	1.0	1.0	0.0
Mockrobiota_251	0.0	1.0	1.0	1.0	1.0
Mockrobiota_252	1.0	0.0	0.0	1.0	1.0
Mockrobiota_253	1.0	1.0	1.0	1.0	1.0
Mockrobiota_254	1.0	1.0	0.0	1.0	1.0
Mockrobiota_255	1.0	1.0	1.0	1.0	0.0
Mockrobiota_256	1.0	0.0	1.0	0.0	1.0
Mockrobiota_257	1.0	1.0	0.0	1.0	1.0
Mockrobiota_258	1.0	1.0	1.0	1.0	1.0
Mockrobiota_259	1.0	1.0	1.0	0.0	1.0
Mockrobiota_26	1.0	1.0	1.0	1.0	0.0
Mockrobiota_260	1.0	0.0	1.0	1.0	1.0
Mockrobiota_261	1.0	1.0	1.0	1.0	0.0
Mockrobiota_262	0.0	0.0	1.0	0.0	1.0
Mockrobiota_263	1.0	0.0	1.0	1.0	1.0
Mockrobiota_264	1.0	0.0	0.0	0.0	0.0
Mockrobiota_265	1.0	1.0	0.0	1.0	1.0
Mockrobiota_266	0.0	0.0	1.0	1.0	1.0
Mockrobiota_267	1.0	1.0	1.0	1.0	1.0
Mockrobiota_268	0.0	1.0	1.0	1.0	0.0
Mockrobiota_269	0.0	0.0	1.0	1.0	0.0
Mockrobiota_27	1.0	0.0	1.0	1.0	1.0
Mockrobiota_270	1.0	1.0	1.0	0.0	1.0
Mockrobiota_271	1.0	1.0	1.0	1.0	1.0
Mockrobiota_272	1.0	0.0	1.0	1.0	1.0
Mockrobiota_273	0.0	1.0	0.0	1.0	1.0
Mockrobiota_274	1.0	1.0	1.0	1.0	1.0
Mockrobiota_28	0.0	1.0	0.0	1.0	1.0
Mockrobiota_29	1.0	1.0	1.0	1.0	1.0
Mockrobiota_3	1.0	1.0	1.0	1.0	1.0
Mockrobiota_30	1.0	1.0	1.0	1.0	1.0
Mockrobiota_31	1.0	1.0	0.0	1.0	1.0
Mockrobiota_32	0.0	0.0	1.0	0.0	1.0
Mockrobiota_33	1.0	0.0	1.0	1.0	1.0
Mockrobiota_34	1.0	1.0	0.0	0.0	1.0
Mockrobiota_35	1.0	1.0	1.0	1.0	0.0
Mockrobiota_36	1.0	0.0	0.0	1.0	1.0
Mockrobiota_37	1.0	1.0	0.0	1.0	1.0
Mockrobiota_38	1.0	1.0	0.0	0.0	0.0
Mockrobiota_39	1.0	0.0	1.0	1.0	1.0
Mockrobiota_4	1.0	0.0	1.0	1.0	0.0
Mockrobiota_40	0.0	1.0	1.0	1.0	1.0
Mockrobiota_41	1.0	1.0	1.0	1.0	0.0
Mockrobiota_42	0.0	1.0	1.0	1.0	1.0
Mockrobiota_43	1.0	0.0	0.0	0.0	1.0
Mockrobiota_44	1.0	0.0	1.0	1.0	1.0
Mockrobiota_45	1.0	1.0	1.0	1.0	1.0
Mockrobiota_46	1.0	1.0	0.0	1.0	1.0
Mockrobiota_47	1.0	1.0	1.0	1.0	1.0
Mockrobiota_48	1.0	1.0	1.0	1.0	1.0
Mockrobiota_49	1.0	1.0	1.0	0.0	0.0
Mockrobiota_5	1.0	0.0	1.0	0.0	0.0
Mockrobiota_50	1.0	1.0	0.0	0.0	1.0
Mockrobiota_51	1.0	1.0	1.0	1.0	0.0
Mockrobiota_52	0.0	1.0	1.0	0.0	1.0
Mockrobiota_53	1.0	0.0	1.0	1.0	0.0
Mockrobiota_54	1.0	1.0	1.0	1.0	1.0
Mockrobiota_55	1.0	1.0	1.0	1.0	1.0
Mockrobiota_56	0.0	1.0	1.0	1.0	1.0
Mockrobiota_57	1.0	1.0	0.0	1.0	0.0
Mockrobiota_58	1.0	1.0	1.0	1.0	0.0
Mockrobiota_59	1.0	1.0	1.0	1.0	0.0
Mockrobiota_6	0.0	0.0	1.0	1.0	1.0
Mockrobiota_60	0.0	1.0	1.0	0.0	1.0
Mockrobiota_61	0.0	1.0	1.0	1.0	1.0
Mockrobiota_62	1.0	1.0	1.0	1.0	0.0
Mockrobiota_63	1.0	1.0	1.0	1.0	1.0
Mockrobiota_64	0.0	1.0	0.0	0.0	0.0
Mockrobiota_65	1.0	1.0	1.0	1.0	1.0
Mockrobiota_66	1.0	1.0	0.0	0.0	0.0
Mockrobiota_67	1.0	0.0	1.0	1.0	1.0
Mockrobiota_68	1.0	1.0	1.0	1.0	0.0
Mockrobiota_69	0.0	1.0	1.0	1.0	1.0
Mockrobiota_7	1.0	1.0	0.0	1.0	1.0
Mockrobiota_70	1.0	1.0	1.0	1.0	0.0
Mockrobiota_71	0.0	1.0	1.0	0.0	0.0
Mockrobiota_72	0.0	1.0	1.0	1.0	0.0
Mockrobiota_73	0.0	1.0	1.0	1.0	1.0
Mockrobiota_74	1.0	1.0	0.0	0.0	1.0
Mockrobiota_75	1.0	1.0	1.0	1.0	0.0
Mockrobiota_76	1.0	1.0	1.0	1.0	0.0
Mockrobiota_77	1.0	1.0	0.0	1.0	1.0
Mockrobiota_78	1.0	1.0	1.0	1.0	0.0
Mockrobiota_79	1.0	1.0	0.0	1.0	1.0
Mockrobiota_8	1.0	1.0	1.0	0.0	1.0
Mockrobiota_80	1.0	1.0	1.0	1.0	1.0
Mockrobiota_81	1.0	0.0	1.0	0.0	1.0
Mockrobiota_82	1.0	0.0	1.0	1.0	1.0
Mockrobiota_83	1.0	1.0	1.0	1.0	0.0
Mockrobiota_84	1.0	0.0	0.0	1.0	0.0
Mockrobiota_85	0.0	1.0	1.0	1.0	1.0
Mockrobiota_86	1.0	0.0	1.0	0.0	1.0
Mockrobiota_87	1.0	1.0	1.0	1.0	1.0
Mockrobiota_88	0.0	1.0	0.0	1.0	0.0
Mockrobiota_89	1.0	0.0	1.0	1.0	0.0
Mockrobiota_9	0.0	0.0	1.0	1.0	1.0
Mockrobiota_90	0.0	1.0	1.0	1.0	1.0
Mockrobiota_91	1.0	1.0	1.0	1.0	1.0
Mockrobiota_92	0.0	0.0	1.0	1.0	0.0
Mockrobiota_93	0.0	1.0	1.0	1.0	1.0
Mockrobiota_94	1.0	1.0	1.0	1.0	1.0
Mockrobiota_95	0.0	0.0	1.0	1.0	1.0
Mockrobiota_96	0.0	1.0	1.0	0.0	1.0
Mockrobiota_97	1.0	1.0	1.0	1.0	1.0
Mockrobiota_98	1.0	1.0	1.0	1.0	1.0
Mockrobiota_99	1.0	1.0	0.0	1.0	1.0
