Taxon	vagimock00	vagimock01	vagimock02	vagimock03	vagimock04
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__Aerococcus_christensenii	0.0	5.0	3.0	8.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_uniformis	0.0	5.0	2.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__Clostridium_perfringens	0.0	5.0	6.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium; s__Eubacterium_coprostanoligenes	0.0	3.0	4.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group; s__[Eubacterium]_hallii	0.0	3.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__Ruminococcus_bromii	0.0	3.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Anaeroglobus; s__Anaeroglobus_geminatus	0.0	3.0	0.0	0.0	28.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_distasonis	0.0	3.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Alloscardovia; s__Alloscardovia_omnicolens	0.0	3.0	0.0	0.0	111.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__Ruminococcus_bicirculans	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; s__Anaerococcus_obesiensis	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__Blautia_faecis	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus_coleohominis	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter_saccharivorans	0.0	2.0	2.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_bifidum	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Roseburia; s__Roseburia_faecis	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__Blautia_obeum	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__Fenollaria; s__Fenollaria_massiliensis	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus; s__Peptoniphilus_duerdenii	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Mediterraneibacter; s__Mediterraneibacter_faecis	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Winkia; s__Winkia_neuii	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_colorans	0.0	2.0	3.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Monoglobus; s__Monoglobus_pectinilyticus	0.0	2.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium_dentium	0.0	0.0	180.0	28.0	77.0
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Megasphaera; s__Megasphaera_stantonii	0.0	0.0	7.0	27.0	25.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_buccalis	0.0	0.0	4.0	0.0	0.0
k__Bacteria; p__Tenericutes; c__; o__Mycoplasmoidales; f__Metamycoplasmataceae; g__Metamycoplasma; s__Metamycoplasma_hominis	0.0	0.0	4.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Dialister; s__Dialister_succinatiphilus	0.0	0.0	4.0	4.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_amnii	0.0	0.0	3.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus_pontis	0.0	0.0	0.0	5.0	0.0
k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; s__Anaerococcus_prevotii	0.0	0.0	0.0	5.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_agalactiae	0.0	0.0	0.0	4.0	16.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_uenonis	0.0	0.0	0.0	4.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__Howardella; s__Howardella_ureilytica	0.0	0.0	0.0	0.0	122.0
