Species,mockname,Abundance
Campylobacter_hominis,gutmock,555.0 (0.23%)
Campylobacter_ureolyticus,gutmock,110.0 (0.05%)
Caproicibacter_fermentans,gutmock,35.0 (0.01%)
Caproiciproducens_galactitolivorans,gutmock,636.0 (0.27%)
Catenibacterium_mitsuokai,gutmock,340.0 (0.14%)
Cellulosilyticum_ruminicola,gutmock,15.0 (0.01%)
Cloacibacillus_porcorum,gutmock,70.0 (0.03%)
Clostridium_aminobutyricum,gutmock,48.0 (0.02%)
Clostridium_paraputrificum,gutmock,135.0 (0.06%)
Clostridium_tarantellae,gutmock,170.0 (0.07%)
Colidextribacter_massiliensis,gutmock,105.0 (0.04%)
Collinsella_aerofaciens,gutmock,120.0 (0.05%)
Conservatibacter_flavescens,gutmock,955.0 (0.40%)
Coprobacillus_cateniformis,gutmock,335.0 (0.14%)
Coprobacter_fastidiosus,gutmock,325.0 (0.14%)
Coprobacter_secundus,gutmock,135.0 (0.06%)
Coprococcus_catus,gutmock,1035.0 (0.43%)
Coprococcus_comes,gutmock,2185.0 (0.92%)
Coprococcus_eutactus,gutmock,2295.0 (0.96%)
Corynebacterium_pyruviciproducens,gutmock,20.0 (0.01%)
Corynebacterium_tuberculostearicum,gutmock,25.0 (0.01%)
Cuneatibacter_caecimuris,gutmock,230.0 (0.10%)
Desulfovibrio_D168,gutmock,390.0 (0.16%)
Desulfovibrio_fairfieldensis,gutmock,50.0 (0.02%)
Desulfovibrio_piger,gutmock,350.0 (0.15%)
Dialister_invisus,gutmock,830.0 (0.35%)
Dialister_micraerophilus,gutmock,25.0 (0.01%)
Dialister_pneumosintes,gutmock,120.0 (0.05%)
Dialister_propionicifaciens,gutmock,285.0 (0.12%)
Dialister_succinatiphilus,gutmock,332.0 (0.14%)
Dielma_fastidiosa,gutmock,200.0 (0.08%)
Dorea_formicigenerans,gutmock,50.0 (0.02%)
Dorea_longicatena,gutmock,365.0 (0.15%)
Duodenibacillus_massiliensis,gutmock,315.0 (0.13%)
Dysosmobacter_welbionis,gutmock,1700.0 (0.71%)
Eisenbergiella_massiliensis,gutmock,85.0 (0.04%)
Eisenbergiella_tayi,gutmock,280.0 (0.12%)
Erysipelatoclostridium_ramosum,gutmock,2370.0 (0.99%)
Ethanoligenens_harbinense,gutmock,90.0 (0.04%)
Eubacterium_coprostanoligenes,gutmock,2472.0 (1.04%)
Eubacterium_limosum,gutmock,30.0 (0.01%)
Eubacterium_ramulus,gutmock,675.0 (0.28%)
Eubacterium_ruminantium,gutmock,490.0 (0.21%)
Facklamia_hominis,gutmock,20.0 (0.01%)
Faecalibacterium_prausnitzii,gutmock,13465.0 (5.65%)
Faecalicatena_contorta,gutmock,25.0 (0.01%)
Faecalicoccus_acidiformans,gutmock,80.0 (0.03%)
Faecalimonas_umbilicata,gutmock,415.0 (0.17%)
Faecalitalea_cylindroides,gutmock,55.0 (0.02%)
Fastidiosipila_sanguinis,gutmock,25.0 (0.01%)
Fenollaria_massiliensis,gutmock,355.0 (0.15%)
Filifactor_villosus,gutmock,48.0 (0.02%)
Finegoldia_magna,gutmock,460.0 (0.19%)
Firmicutes_oral,gutmock,150.0 (0.06%)
Flavonifractor_plautii,gutmock,1840.0 (0.77%)
Flintibacter_butyricus,gutmock,944.0 (0.40%)
Fournierella_massiliensis,gutmock,450.0 (0.19%)
Frisingicoccus_caecimuris,gutmock,345.0 (0.14%)
Fusicatenibacter_saccharivorans,gutmock,2520.0 (1.06%)
Fusobacterium_gonidiaformans,gutmock,35.0 (0.01%)
Fusobacterium_naviforme,gutmock,100.0 (0.04%)
Fusobacterium_necrophorum,gutmock,80.0 (0.03%)
Fusobacterium_periodonticum,gutmock,55.0 (0.02%)
Fusobacterium_simiae,gutmock,20.0 (0.01%)
Fusobacterium_ulcerans,gutmock,25.0 (0.01%)
Gemmiger_formicilis,gutmock,2096.0 (0.88%)
Harryflintia_acetispora,gutmock,20.0 (0.01%)
Herbinix_luporum,gutmock,25.0 (0.01%)
Holdemanella_biformis,gutmock,1565.0 (0.66%)
Holdemania_filiformis,gutmock,104.0 (0.04%)
Holdemania_massiliensis,gutmock,150.0 (0.06%)
Howardella_ureilytica,gutmock,250.0 (0.10%)
Hungatella_hathewayi,gutmock,755.0 (0.32%)
Hydrogeniiclostridium_mannosilyticum,gutmock,70.0 (0.03%)
Ihubacter_massiliensis,gutmock,825.0 (0.35%)
Intestinibacter_bartlettii,gutmock,1045.0 (0.44%)
Intestinimonas_massiliensis,gutmock,125.0 (0.05%)
Intestinimonas_timonensis,gutmock,15.0 (0.01%)
Lachnoclostridium_phocaeense,gutmock,90.0 (0.04%)
Lacticaseibacillus_chiayiensis,gutmock,72.0 (0.03%)
Lactobacillus_equicursoris,gutmock,16.0 (0.01%)
Lactobacillus_gasseri,gutmock,55.0 (0.02%)
Lactobacillus_iners,gutmock,15.0 (0.01%)
Lawsonella_clevelandensis,gutmock,75.0 (0.03%)
Lawsonibacter_asaccharolyticus,gutmock,675.0 (0.28%)
Ligilactobacillus_ruminis,gutmock,45.0 (0.02%)
Limosilactobacillus_fermentum,gutmock,65.0 (0.03%)
Limosilactobacillus_mucosae,gutmock,200.0 (0.08%)
Longibaculum_muris,gutmock,16.0 (0.01%)
Longicatena_caecimuris,gutmock,360.0 (0.15%)
Mailhella_massiliensis,gutmock,25.0 (0.01%)
Marseillibacter_massiliensis,gutmock,1185.0 (0.50%)
Massilimicrobiota_timonensis,gutmock,145.0 (0.06%)
Massiliprevotella_massiliensis,gutmock,240.0 (0.10%)
Mediterranea_massiliensis,gutmock,25.0 (0.01%)
Mediterraneibacter_faecis,gutmock,1030.0 (0.43%)
Megamonas_funiformis,gutmock,200.0 (0.08%)
Megasphaera_elsdenii,gutmock,135.0 (0.06%)
Megasphaera_massiliensis,gutmock,160.0 (0.07%)
Megasphaera_micronuciformis,gutmock,95.0 (0.04%)
Merdimonas_faecis,gutmock,176.0 (0.07%)
Metaprevotella_massiliensis,gutmock,55.0 (0.02%)
Methanobrevibacter_smithii,gutmock,159.0 (0.07%)
Mitsuokella_jalaludinii,gutmock,40.0 (0.02%)
Mobiluncus_curtisii,gutmock,65.0 (0.03%)
Monoglobus_pectinilyticus,gutmock,1460.0 (0.61%)
Morganella_morganii,gutmock,90.0 (0.04%)
Murdochiella_asaccharolytica,gutmock,120.0 (0.05%)
Muribaculum_intestinale,gutmock,55.0 (0.02%)
Murimonas_intestini,gutmock,12.0 (0.01%)
Negativibacillus_massiliensis,gutmock,595.0 (0.25%)
Neglectibacter_timonensis,gutmock,925.0 (0.39%)
Odoribacter_laneus,gutmock,160.0 (0.07%)
Odoribacter_splanchnicus,gutmock,785.0 (0.33%)
Oscillibacter_ruminantium,gutmock,860.0 (0.36%)
Oxalobacter_formigenes,gutmock,20.0 (0.01%)
Papillibacter_cinnamivorans,gutmock,280.0 (0.12%)
Parabacteroides_chongii,gutmock,60.0 (0.03%)
Parabacteroides_distasonis,gutmock,5390.0 (2.26%)
Parabacteroides_goldsteinii,gutmock,1210.0 (0.51%)
Parabacteroides_gordonii,gutmock,105.0 (0.04%)
Parabacteroides_johnsonii,gutmock,405.0 (0.17%)
Parabacteroides_merdae,gutmock,3890.0 (1.63%)
Parafannyhessea_umbonata,gutmock,25.0 (0.01%)
Paraprevotella_clara,gutmock,1516.0 (0.64%)
Paraprevotella_xylaniphila,gutmock,45.0 (0.02%)
Parasutterella_excrementihominis,gutmock,984.0 (0.41%)
Parasutterella_secunda,gutmock,120.0 (0.05%)
Parvimonas_micra,gutmock,25.0 (0.01%)
Peptococcus_niger,gutmock,120.0 (0.05%)
Peptococcus_simiae,gutmock,16.0 (0.01%)
Peptoniphilus_catoniae,gutmock,16.0 (0.01%)
Peptoniphilus_coxii,gutmock,36.0 (0.02%)
Peptoniphilus_duerdenii,gutmock,40.0 (0.02%)
Peptoniphilus_lacrimalis,gutmock,230.0 (0.10%)
Peptoniphilus_obesi,gutmock,60.0 (0.03%)
Peptoniphilus_urinimassiliensis,gutmock,210.0 (0.09%)
Peptostreptococcus_anaerobius,gutmock,80.0 (0.03%)
Petroclostridium_xylanilyticum,gutmock,60.0 (0.03%)
Phascolarctobacterium_faecium,gutmock,1025.0 (0.43%)
Phascolarctobacterium_succinatutens,gutmock,72.0 (0.03%)
Phocaeicola_coprocola,gutmock,535.0 (0.22%)
Phocaeicola_coprophilus,gutmock,75.0 (0.03%)
Phocaeicola_dorei,gutmock,3515.0 (1.47%)
Phocaeicola_massiliensis,gutmock,1040.0 (0.44%)
Phocaeicola_plebeius,gutmock,1320.0 (0.55%)
Phocaeicola_vulgatus,gutmock,32190.0 (13.50%)
Porphyromonas_asaccharolytica,gutmock,270.0 (0.11%)
Porphyromonas_bennonis,gutmock,305.0 (0.13%)
Porphyromonas_somerae,gutmock,32.0 (0.01%)
Porphyromonas_uenonis,gutmock,30.0 (0.01%)
Prevotella_bivia,gutmock,495.0 (0.21%)
Prevotella_brunnea,gutmock,25.0 (0.01%)
Prevotella_buccalis,gutmock,645.0 (0.27%)
Prevotella_colorans,gutmock,110.0 (0.05%)
Prevotella_copri,gutmock,6980.0 (2.93%)
Prevotella_corporis,gutmock,2365.0 (0.99%)
Prevotella_disiens,gutmock,120.0 (0.05%)
Prevotella_paludivivens,gutmock,40.0 (0.02%)
Prevotella_rara,gutmock,285.0 (0.12%)
Prevotella_stercorea,gutmock,835.0 (0.35%)
Prevotella_timonensis,gutmock,380.0 (0.16%)
Prevotellamassilia_timonensis,gutmock,465.0 (0.19%)
Pseudoflavonifractor_capillosus,gutmock,90.0 (0.04%)
Pyramidobacter_piscolens,gutmock,115.0 (0.05%)
Raoultibacter_massiliensis,gutmock,45.0 (0.02%)
Raoultibacter_timonensis,gutmock,90.0 (0.04%)
Rarimicrobium_hominis,gutmock,44.0 (0.02%)
Robinsoniella_peoriensis,gutmock,60.0 (0.03%)
Romboutsia_timonensis,gutmock,25.0 (0.01%)
Roseburia_hominis,gutmock,690.0 (0.29%)
Roseburia_intestinalis,gutmock,5895.0 (2.47%)
Roseburia_inulinivorans,gutmock,1675.0 (0.70%)
Rothia_mucilaginosa,gutmock,20.0 (0.01%)
Ruminococcus_bicirculans,gutmock,2925.0 (1.23%)
Ruminococcus_bromii,gutmock,6500.0 (2.73%)
Ruminococcus_callidus,gutmock,855.0 (0.36%)
Ruminococcus_champanellensis,gutmock,775.0 (0.32%)
Ruminococcus_flavefaciens,gutmock,40.0 (0.02%)
Ruminococcus_lactaris,gutmock,730.0 (0.31%)
Ruminococcus_torques,gutmock,1830.0 (0.77%)
Ruthenibacterium_lactatiformans,gutmock,1310.0 (0.55%)
Sanguibacteroides_justesenii,gutmock,25.0 (0.01%)
Sarcina_ventriculi,gutmock,16.0 (0.01%)
Schaalia_odontolytica,gutmock,65.0 (0.03%)
Schaalia_turicensis,gutmock,25.0 (0.01%)
Sellimonas_intestinalis,gutmock,648.0 (0.27%)
Senegalimassilia_anaerobia,gutmock,24.0 (0.01%)
Slackia_isoflavoniconvertens,gutmock,90.0 (0.04%)
Sporobacter_termitidis,gutmock,3155.0 (1.32%)
Subdoligranulum_variabile,gutmock,135.0 (0.06%)
Succiniclasticum_ruminis,gutmock,80.0 (0.03%)
Sutterella_wadsworthensis,gutmock,328.0 (0.14%)
Turicibacter_sanguinis,gutmock,185.0 (0.08%)
Tyzzerella_nexilis,gutmock,680.0 (0.29%)
Veillonella_denticariosi,gutmock,120.0 (0.05%)
Veillonella_infantium,gutmock,416.0 (0.17%)
Veillonella_rodentium,gutmock,30.0 (0.01%)
Victivallis_vadensis,gutmock,265.0 (0.11%)
Winkia_neuii,gutmock,15.0 (0.01%)
[Clostridium]_citroniae,gutmock,24.0 (0.01%)
[Clostridium]_colinum,gutmock,150.0 (0.06%)
[Clostridium]_innocuum,gutmock,1010.0 (0.42%)
[Clostridium]_methylpentosum,gutmock,40.0 (0.02%)
[Clostridium]_polysaccharolyticum,gutmock,15.0 (0.01%)
[Clostridium]_saccharogumia,gutmock,90.0 (0.04%)
[Clostridium]_scindens,gutmock,130.0 (0.05%)
[Clostridium]_spiroforme,gutmock,370.0 (0.16%)
[Clostridium]_symbiosum,gutmock,975.0 (0.41%)
[Eubacterium]_biforme,gutmock,1070.0 (0.45%)
[Eubacterium]_eligens,gutmock,4065.0 (1.70%)
[Eubacterium]_hallii,gutmock,3965.0 (1.66%)
[Eubacterium]_rectale,gutmock,8120.0 (3.40%)
[Eubacterium]_siraeum,gutmock,1060.0 (0.44%)
[Ruminococcus]_gnavus,gutmock,2700.0 (1.13%)
anaerobic_digester,gutmock,575.0 (0.24%)
bacterium_ic1379,gutmock,16.0 (0.01%)
human_intestinal,gutmock,16.0 (0.01%)
Acidobacterium_capsulatum,mockrobiota,10.0 (0.22%)
Acinetobacter_baumannii,mockrobiota,41.0 (0.89%)
Actinomyces_odontolyticus,mockrobiota,25.0 (0.54%)
Akkermansia_muciniphila,mockrobiota,31.0 (0.67%)
Archaeoglobus_fulgidus,mockrobiota,15.0 (0.33%)
Bacillus_cereus,mockrobiota,116.0 (2.52%)
Bacillus_subtilis,mockrobiota,25.0 (0.54%)
Bacteroides_cellulosilyticus,mockrobiota,50.0 (1.09%)
Bacteroides_eggerthii,mockrobiota,15.0 (0.33%)
Bacteroides_fragilis,mockrobiota,10.0 (0.22%)
Bacteroides_ovatus,mockrobiota,105.0 (2.28%)
Bacteroides_thetaiotaomicron,mockrobiota,57.0 (1.24%)
Bacteroides_uniformis,mockrobiota,95.0 (2.06%)
Barnesiella_intestinihominis,mockrobiota,24.0 (0.52%)
Bordetella_bronchiseptica,mockrobiota,10.0 (0.22%)
Burkholderia-Caballeronia-Paraburkholderia_xenovorans,mockrobiota,20.0 (0.43%)
Caldicellulosiruptor_bescii,mockrobiota,10.0 (0.22%)
Cereibacter_sphaeroides,mockrobiota,72.0 (1.56%)
Chloroflexus_aurantiacus,mockrobiota,30.0 (0.65%)
Clostridium_beijerinckii,mockrobiota,250.0 (5.43%)
Clostridium_sensu_stricto_11_acetobutylicum,mockrobiota,35.0 (0.76%)
Clostridium_sensu_stricto_1_beijerinckii,mockrobiota,220.0 (4.78%)
Clostridium_sensu_stricto_1_celatum,mockrobiota,20.0 (0.43%)
Coprococcus_comes,mockrobiota,28.0 (0.61%)
Cutibacterium_acnes,mockrobiota,71.0 (1.54%)
Deinococcus_grandis,mockrobiota,20.0 (0.43%)
Deinococcus_radiodurans,mockrobiota,87.0 (1.89%)
Desulfitobacterium_hafniense,mockrobiota,20.0 (0.43%)
Desulfovibrio_piger,mockrobiota,60.0 (1.30%)
Desulfovibrio_vulgaris,mockrobiota,20.0 (0.43%)
Dickeya_dadantii,mockrobiota,115.0 (2.50%)
Dictyoglomus_turgidum,mockrobiota,10.0 (0.22%)
Enterococcus_faecalis,mockrobiota,121.0 (2.63%)
Escherichia-Shigella_coli,mockrobiota,88.0 (1.91%)
Escherichia_coli,mockrobiota,175.0 (3.80%)
Fusobacterium_nucleatum,mockrobiota,99.0 (2.15%)
Gemmatimonas_aurantiaca,mockrobiota,35.0 (0.76%)
Helicobacter_pylori,mockrobiota,30.0 (0.65%)
Herpetosiphon_aurantiacus,mockrobiota,40.0 (0.87%)
Howardella_ureilytica,mockrobiota,20.0 (0.43%)
Ignicoccus_hospitalis,mockrobiota,9.0 (0.20%)
Lactobacillus_gasseri,mockrobiota,36.0 (0.78%)
Leptothrix_cholodnii,mockrobiota,10.0 (0.22%)
Listeria_monocytogenes,mockrobiota,119.0 (2.58%)
Methanobrevibacter_smithii,mockrobiota,21.0 (0.46%)
Methanocaldococcus_jannaschii,mockrobiota,12.0 (0.26%)
Methanococcus_maripaludis,mockrobiota,21.0 (0.46%)
Microlunatus_phosphovorus,mockrobiota,15.0 (0.33%)
Nanoarchaeum_equitans,mockrobiota,4.0 (0.09%)
Neisseria_meningitidis,mockrobiota,31.0 (0.67%)
Nitrobacter_winogradskyi,mockrobiota,15.0 (0.33%)
Nitrosomonas_europaea,mockrobiota,35.0 (0.76%)
Parabacteroides_distasonis,mockrobiota,40.0 (0.87%)
Parabacteroides_merdae,mockrobiota,80.0 (1.74%)
Paraprevotella_clara,mockrobiota,20.0 (0.43%)
Pelodictyon_phaeoclathratiforme,mockrobiota,55.0 (1.19%)
Pelolinea_thermophila,mockrobiota,20.0 (0.43%)
Persephonella_marina,mockrobiota,8.0 (0.17%)
Phocaeicola_massiliensis,mockrobiota,20.0 (0.43%)
Phocaeicola_vulgatus,mockrobiota,310.0 (6.73%)
Porphyromonas_gingivalis,mockrobiota,90.0 (1.95%)
Prevotella_buccalis,mockrobiota,10.0 (0.22%)
Prevotella_copri,mockrobiota,50.0 (1.09%)
Pseudomonas_aeruginosa,mockrobiota,75.0 (1.63%)
Pseudomonas_putida,mockrobiota,20.0 (0.43%)
Pyrobaculum_aerophilum,mockrobiota,6.0 (0.13%)
Pyrobaculum_calidifontis,mockrobiota,9.0 (0.20%)
Pyrococcus_horikoshii,mockrobiota,12.0 (0.26%)
Rhodopirellula_baltica,mockrobiota,16.0 (0.35%)
Roseburia_inulinivorans,mockrobiota,10.0 (0.22%)
Ruegeria_pomeroyi,mockrobiota,20.0 (0.43%)
Salinispora_arenicola,mockrobiota,15.0 (0.33%)
Salinispora_tropica,mockrobiota,20.0 (0.43%)
Shewanella_baltica,mockrobiota,290.0 (6.30%)
Staphylococcus_aureus,mockrobiota,115.0 (2.50%)
Staphylococcus_epidermidis,mockrobiota,184.0 (4.00%)
Streptococcus_agalactiae,mockrobiota,28.0 (0.61%)
Streptococcus_mutans,mockrobiota,62.0 (1.35%)
Streptococcus_pneumoniae,mockrobiota,41.0 (0.89%)
Sulfurihydrogenibium_yellowstonense,mockrobiota,36.0 (0.78%)
Sulfurisphaera_tokodaii,mockrobiota,6.0 (0.13%)
Thermotoga_neapolitana,mockrobiota,28.0 (0.61%)
Thermotoga_petrophila,mockrobiota,20.0 (0.43%)
Thermus_thermophilus,mockrobiota,12.0 (0.26%)
Treponema_bryantii,mockrobiota,50.0 (1.09%)
Treponema_denticola,mockrobiota,50.0 (1.09%)
Treponema_vincentii,mockrobiota,12.0 (0.26%)
Zymomonas_mobilis,mockrobiota,20.0 (0.43%)
[Clostridium]_cocleatum,mockrobiota,12.0 (0.26%)
[Clostridium]_methylpentosum_group_methylpentosum,mockrobiota,40.0 (0.87%)
[Ruminococcus]_gnavus_group_gnavus,mockrobiota,40.0 (0.87%)
Aerococcus_christensenii,vagimock,80.0 (0.03%)
Alloscardovia_omnicolens,vagimock,456.0 (0.18%)
Anaerococcus_obesiensis,vagimock,8.0 (0.00%)
Anaerococcus_prevotii,vagimock,25.0 (0.01%)
Anaeroglobus_geminatus,vagimock,124.0 (0.05%)
Bacteroides_uniformis,vagimock,35.0 (0.01%)
Bifidobacterium_bifidum,vagimock,10.0 (0.00%)
Bifidobacterium_dentium,vagimock,1425.0 (0.58%)
Blautia_faecis,vagimock,8.0 (0.00%)
Blautia_obeum,vagimock,10.0 (0.00%)
Clostridium_perfringens,vagimock,55.0 (0.02%)
Dialister_micraerophilus,vagimock,105.0 (0.04%)
Dialister_succinatiphilus,vagimock,32.0 (0.01%)
Eubacterium_coprostanoligenes,vagimock,28.0 (0.01%)
Faecalibacterium_prausnitzii,vagimock,110.0 (0.04%)
Fannyhessea_vaginae,vagimock,2200.0 (0.89%)
Fenollaria_massiliensis,vagimock,10.0 (0.00%)
Finegoldia_magna,vagimock,50.0 (0.02%)
Fusicatenibacter_saccharivorans,vagimock,16.0 (0.01%)
Gardnerella_vaginalis,vagimock,14225.0 (5.75%)
Howardella_ureilytica,vagimock,610.0 (0.25%)
Lactobacillus_crispatus,vagimock,59815.0 (24.20%)
Lactobacillus_delbrueckii,vagimock,90.0 (0.04%)
Lactobacillus_gasseri,vagimock,7745.0 (3.13%)
Lactobacillus_iners,vagimock,152805.0 (61.81%)
Lactobacillus_jensenii,vagimock,4855.0 (1.96%)
Limosilactobacillus_coleohominis,vagimock,10.0 (0.00%)
Limosilactobacillus_pontis,vagimock,25.0 (0.01%)
Limosilactobacillus_vaginalis,vagimock,120.0 (0.05%)
Mediterraneibacter_faecis,vagimock,10.0 (0.00%)
Megasphaera_stantonii,vagimock,295.0 (0.12%)
Metamycoplasma_hominis,vagimock,20.0 (0.01%)
Monoglobus_pectinilyticus,vagimock,10.0 (0.00%)
Parabacteroides_distasonis,vagimock,15.0 (0.01%)
Peptoniphilus_duerdenii,vagimock,8.0 (0.00%)
Phocaeicola_vulgatus,vagimock,60.0 (0.02%)
Porphyromonas_uenonis,vagimock,20.0 (0.01%)
Prevotella_amnii,vagimock,15.0 (0.01%)
Prevotella_bivia,vagimock,630.0 (0.25%)
Prevotella_buccalis,vagimock,20.0 (0.01%)
Prevotella_colorans,vagimock,25.0 (0.01%)
Prevotella_copri,vagimock,340.0 (0.14%)
Prevotella_timonensis,vagimock,330.0 (0.13%)
Roseburia_faecis,vagimock,10.0 (0.00%)
Ruminococcus_bicirculans,vagimock,10.0 (0.00%)
Ruminococcus_bromii,vagimock,15.0 (0.01%)
Sporobacter_termitidis,vagimock,40.0 (0.02%)
Streptococcus_agalactiae,vagimock,100.0 (0.04%)
Ureaplasma_urealyticum,vagimock,90.0 (0.04%)
Winkia_neuii,vagimock,10.0 (0.00%)
[Eubacterium]_hallii,vagimock,15.0 (0.01%)
anaerobic_digester,vagimock,25.0 (0.01%)
