ID	mockrobiota00	mockrobiota01	mockrobiota02	mockrobiota03	mockrobiota04
Mockrobiota_86	3.0	1.0	0.0	0.0	3.0
Mockrobiota_87	1.0	1.0	0.0	0.0	1.0
Mockrobiota_85	1.0	1.0	0.0	0.0	0.0
Mockrobiota_121	1.0	1.0	2.0	2.0	0.0
Mockrobiota_119	1.0	2.0	3.0	1.0	3.0
Mockrobiota_83	2.0	0.0	1.0	2.0	0.0
Mockrobiota_63	1.0	0.0	0.0	1.0	0.0
Mockrobiota_64	1.0	0.0	0.0	1.0	0.0
Mockrobiota_117	2.0	1.0	1.0	0.0	1.0
Mockrobiota_178	1.0	0.0	1.0	1.0	0.0
Mockrobiota_179	1.0	0.0	2.0	1.0	0.0
Mockrobiota_245	1.0	3.0	1.0	0.0	2.0
Mockrobiota_51	1.0	0.0	2.0	0.0	0.0
Mockrobiota_144	1.0	0.0	1.0	0.0	0.0
Mockrobiota_143	1.0	0.0	2.0	0.0	0.0
Mockrobiota_32	2.0	1.0	0.0	0.0	0.0
Mockrobiota_61	2.0	0.0	0.0	1.0	0.0
Mockrobiota_112	2.0	0.0	0.0	0.0	2.0
Mockrobiota_181	1.0	0.0	2.0	0.0	0.0
Mockrobiota_180	1.0	0.0	1.0	0.0	0.0
Mockrobiota_273	2.0	0.0	1.0	2.0	1.0
Mockrobiota_145	1.0	0.0	0.0	1.0	0.0
Mockrobiota_146	1.0	0.0	0.0	1.0	0.0
Mockrobiota_76	1.0	1.0	0.0	2.0	0.0
Mockrobiota_75	1.0	2.0	0.0	0.0	0.0
Mockrobiota_137	2.0	1.0	1.0	0.0	2.0
Mockrobiota_69	1.0	0.0	0.0	0.0	0.0
Mockrobiota_62	1.0	0.0	0.0	2.0	0.0
Mockrobiota_8	0.0	1.0	4.0	1.0	5.0
Mockrobiota_67	0.0	1.0	1.0	1.0	1.0
Mockrobiota_9	0.0	1.0	1.0	0.0	2.0
Mockrobiota_173	0.0	2.0	1.0	1.0	0.0
Mockrobiota_165	0.0	1.0	1.0	2.0	0.0
Mockrobiota_174	0.0	1.0	0.0	1.0	0.0
Mockrobiota_175	0.0	3.0	1.0	3.0	0.0
Mockrobiota_167	0.0	3.0	0.0	2.0	1.0
Mockrobiota_170	0.0	2.0	0.0	3.0	0.0
Mockrobiota_162	0.0	3.0	1.0	3.0	1.0
Mockrobiota_164	0.0	2.0	1.0	2.0	0.0
Mockrobiota_172	0.0	3.0	1.0	0.0	1.0
Mockrobiota_163	0.0	2.0	1.0	5.0	0.0
Mockrobiota_20	0.0	1.0	1.0	0.0	1.0
Mockrobiota_23	0.0	1.0	0.0	0.0	1.0
Mockrobiota_15	0.0	1.0	0.0	0.0	1.0
Mockrobiota_21	0.0	1.0	1.0	0.0	1.0
Mockrobiota_206	0.0	5.0	0.0	1.0	1.0
Mockrobiota_205	0.0	3.0	0.0	1.0	1.0
Mockrobiota_210	0.0	4.0	0.0	1.0	1.0
Mockrobiota_207	0.0	2.0	0.0	1.0	1.0
Mockrobiota_199	0.0	1.0	0.0	1.0	1.0
Mockrobiota_211	0.0	1.0	0.0	0.0	1.0
Mockrobiota_208	0.0	2.0	0.0	0.0	1.0
Mockrobiota_209	0.0	1.0	0.0	0.0	1.0
Mockrobiota_200	0.0	1.0	0.0	0.0	1.0
Mockrobiota_3	0.0	1.0	0.0	1.0	1.0
Mockrobiota_237	0.0	2.0	1.0	2.0	1.0
Mockrobiota_124	0.0	1.0	0.0	0.0	1.0
Mockrobiota_123	0.0	1.0	0.0	0.0	0.0
Mockrobiota_221	0.0	1.0	2.0	3.0	0.0
Mockrobiota_219	0.0	2.0	4.0	2.0	0.0
Mockrobiota_220	0.0	1.0	1.0	2.0	2.0
Mockrobiota_217	0.0	1.0	3.0	2.0	3.0
Mockrobiota_118	0.0	4.0	2.0	3.0	0.0
Mockrobiota_213	0.0	2.0	0.0	1.0	0.0
Mockrobiota_27	0.0	2.0	2.0	1.0	0.0
Mockrobiota_28	0.0	3.0	1.0	2.0	0.0
Mockrobiota_52	0.0	1.0	0.0	0.0	1.0
Mockrobiota_153	0.0	1.0	0.0	0.0	0.0
Mockrobiota_234	0.0	1.0	0.0	1.0	0.0
Mockrobiota_154	0.0	1.0	0.0	1.0	0.0
Mockrobiota_120	0.0	2.0	1.0	1.0	1.0
Mockrobiota_151	0.0	2.0	0.0	0.0	1.0
Mockrobiota_149	0.0	1.0	0.0	1.0	2.0
Mockrobiota_150	0.0	2.0	0.0	1.0	1.0
Mockrobiota_258	0.0	1.0	0.0	0.0	1.0
Mockrobiota_274	0.0	2.0	3.0	0.0	1.0
Mockrobiota_262	0.0	2.0	2.0	0.0	1.0
Mockrobiota_223	0.0	2.0	0.0	2.0	0.0
Mockrobiota_229	0.0	2.0	0.0	0.0	1.0
Mockrobiota_34	0.0	1.0	0.0	0.0	1.0
Mockrobiota_252	0.0	2.0	2.0	0.0	0.0
Mockrobiota_7	0.0	0.0	3.0	0.0	4.0
Mockrobiota_66	0.0	0.0	2.0	0.0	2.0
Mockrobiota_260	0.0	0.0	1.0	0.0	3.0
Mockrobiota_68	0.0	0.0	1.0	0.0	2.0
Mockrobiota_12	0.0	0.0	2.0	0.0	2.0
Mockrobiota_198	0.0	0.0	1.0	0.0	2.0
Mockrobiota_65	0.0	0.0	2.0	0.0	3.0
Mockrobiota_11	0.0	0.0	1.0	0.0	2.0
Mockrobiota_193	0.0	0.0	1.0	0.0	3.0
Mockrobiota_176	0.0	0.0	1.0	0.0	0.0
Mockrobiota_166	0.0	0.0	1.0	2.0	0.0
Mockrobiota_169	0.0	0.0	1.0	0.0	0.0
Mockrobiota_168	0.0	0.0	1.0	3.0	1.0
Mockrobiota_171	0.0	0.0	1.0	0.0	0.0
Mockrobiota_96	0.0	0.0	1.0	0.0	1.0
Mockrobiota_132	0.0	0.0	3.0	0.0	1.0
Mockrobiota_133	0.0	0.0	3.0	0.0	1.0
Mockrobiota_214	0.0	0.0	1.0	0.0	0.0
Mockrobiota_104	0.0	0.0	1.0	0.0	0.0
Mockrobiota_105	0.0	0.0	1.0	1.0	1.0
Mockrobiota_107	0.0	0.0	1.0	0.0	1.0
Mockrobiota_79	0.0	0.0	4.0	1.0	1.0
Mockrobiota_72	0.0	0.0	2.0	0.0	1.0
Mockrobiota_73	0.0	0.0	3.0	0.0	1.0
Mockrobiota_74	0.0	0.0	1.0	0.0	0.0
Mockrobiota_93	0.0	0.0	1.0	1.0	2.0
Mockrobiota_140	0.0	0.0	1.0	0.0	0.0
Mockrobiota_84	0.0	0.0	2.0	0.0	0.0
Mockrobiota_33	0.0	0.0	3.0	0.0	0.0
Mockrobiota_248	0.0	0.0	2.0	0.0	0.0
Mockrobiota_54	0.0	0.0	1.0	0.0	2.0
Mockrobiota_1	0.0	0.0	1.0	0.0	0.0
Mockrobiota_188	0.0	0.0	2.0	0.0	2.0
Mockrobiota_91	0.0	0.0	2.0	0.0	1.0
Mockrobiota_90	0.0	0.0	1.0	0.0	1.0
Mockrobiota_255	0.0	0.0	2.0	0.0	1.0
Mockrobiota_203	0.0	0.0	0.0	1.0	1.0
Mockrobiota_202	0.0	0.0	0.0	1.0	1.0
Mockrobiota_241	0.0	0.0	0.0	3.0	0.0
Mockrobiota_103	0.0	0.0	0.0	1.0	0.0
Mockrobiota_109	0.0	0.0	0.0	2.0	0.0
Mockrobiota_250	0.0	0.0	0.0	2.0	1.0
Mockrobiota_60	0.0	0.0	0.0	1.0	0.0
Mockrobiota_197	0.0	0.0	0.0	0.0	3.0
Mockrobiota_196	0.0	0.0	0.0	0.0	1.0
Mockrobiota_10	0.0	0.0	0.0	0.0	1.0
Mockrobiota_201	0.0	0.0	0.0	0.0	1.0
Mockrobiota_189	0.0	0.0	0.0	0.0	1.0
Mockrobiota_246	0.0	0.0	0.0	0.0	1.0
Mockrobiota_148	0.0	0.0	0.0	0.0	1.0
Mockrobiota_185	0.0	0.0	0.0	0.0	1.0
Mockrobiota_184	0.0	0.0	0.0	0.0	1.0
